Filename,HiFspp,LoFspp,Consensus,ByVote,#Maj,#Accpt,MeanClssn,DiscrProb,Clssn if<Thr,DP if<Thr,Fc mean,Fc StdDev,Dur mean,Dur StdDev,calls/sec,1st,2nd,3rd,4th,<--All spp in sqnc classified with a DP>0.75 in order of prevalence,ParentDir,NextDirUp,FileLngth,Version,Filter,Preemphasis,MaxSegLngth,DP Thr,AccpQuality,AccpQualForTally,Max#CallsConsidered
REF-Summer_Tree-20130525_212436.wav,,1,,Lano,1,1,Lano,0.9897,,,27.83,,11.95,,3.6,Lano,,,,,REF-Summer_Tree-053013,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130525_212950.wav,,1,,,,,Lano,0.9673,,,,,,,3.24,,,,,,REF-Summer_Tree-053013,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130526_211425-Lano.wav,,1,Lano,Lano,3,3,Lano,0.9972,,,26.18,0.22,14.14,1.15,2.03,Lano,Tabr,,,,REF-Summer_Tree-053013,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130526_211922.wav,,1,,Lano,1,1,Lano,0.9926,,,25.66,,17.1,,2.28,Lano,,,,,REF-Summer_Tree-053013,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130526_212440-Lano.wav,,1,Lano,Lano,4,5,Lano,0.9961,,,26.05,0.57,13.78,2.04,3.25,Lano,Tabr,,,,REF-Summer_Tree-053013,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130526_213009.wav,,1,,Lano,1,1,Lano,0.9739,,,27.52,,11.66,,2.88,Lano,Tabr,,,,REF-Summer_Tree-053013,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130526_213527-Tabr.wav,,1,Tabr,Tabr,1,1,Tabr,0.9581,,,26.28,,18.72,,3.29,Lano,Tabr,,,,REF-Summer_Tree-053013,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130526_213550.wav,,1,,TabrLaci,1,2,,,Tabr/Lano,0.666/0.334,26.87,,13.01,,3.93,Lano,Tabr,Laci,,,REF-Summer_Tree-053013,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130526_213608.wav,,1,,,,,,,,,,,,,7.32,,,,,,REF-Summer_Tree-053013,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130526_213621.wav,1,,,,,,,,,,,,,,5.6,,,,,,REF-Summer_Tree-053013,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130526_213718.wav,,,,,,,,,,,,,,,8.58,,,,,,REF-Summer_Tree-053013,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130526_214053-Lano.wav,,1,Lano,Lano,2,2,Lano,0.9863,,,25.86,0.03,18.13,3.02,1.72,Lano,Tabr,,,,REF-Summer_Tree-053013,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
REF-Summer_Tree-20130526_215155-Lano.wav,,1,Lano,Lano,3,3,Lano,0.935,,,26.06,0.53,15.26,0.8,2.93,Lano,Tabr,,,,REF-Summer_Tree-053013,REF-Summer_Tree,4999.74,3.14,5 kHz,medium,8.0 sec,0.9,0.8,0.2,8
